JUAN MIGUEL	ABDO	FRANCIS
LUIS FELIPE	ABREU	HERNÁNDEZ
LAURA SUSANA	ACOSTA	TORRES
ÁLVARO	AGUAYO	GONZÁLEZ
CARLOS ALBERTO	AGUILAR	SALINAS
JOSÉ ÁLVARO	AGUILAR	SETIÉN
MARÍA LUCINDA	AGUIRRE	CRUZ
JESÚS	AGUIRRE	GARCÍA
HÉCTOR GERARDO	AGUIRRE	GAS
JOSEFINA MARÍA	ALBERÚ	GÓMEZ
MARÍA DOLORES	ALCÁNTAR	CURIEL
MANUEL	ALCARAZ	VERDUZCO
JORGE	ALCOCER	VARELA
ERICK	ALEXANDERSON	ROSAS
PALOMA	ALMEDA	VALDÉS
MARIO ARTURO	ALONSO	VANEGAS
PATRICIA	ALONSO	VIVEROS
CELIA MERCEDES	ALPUCHE	ARANDA
CARLOS ALFONSO	ALVA	ESPINOSA
MARÍA ISABEL	ALVARADO	CABRERO
RAFAEL	ÁLVAREZ	CORDERO
MARÍA ASUNCIÓN	ÁLVAREZ	DEL RÍO
FRANCISCO JAVIER	ÁLVAREZ	LEFFMANS
PABLO	ÁLVAREZ	MALDONADO
JOSÉ	ÁLVAREZ	NEMEGYEI
JOSÉ DANTE	AMATO	MARTÍNEZ
MARÍA DEL CARMEN	AMIGO	CASTAÑEDA
ARTURO	ÁNGELES	ÁNGELES
 ALBERTO MANUEL	ÁNGELES	CASTELLANOS
ROGELIO	APIQUIAN	GUITART
JOAQUÍN	ARAICO	LAGUILLO
ÁNGEL ANTONIO	ARAUZ	GÓNGORA
HERIBERTO	ARCILA	HERRERA
MARÍA DE LOURDES	ARELLANES	GARCÍA
ROBERTO	ARENAS	GUZMÁN
RUBÉN	ARGÜERO	SÁNCHEZ
JOSÉ ANTONIO	ARIAS	MONTAÑO
CUAUHTÉMOC RAÚL	ARIZA	ANDRACA
JOSÉ HUGO	ARREDONDO	GALÁN
JAIME JACOBO	ARRIAGA	GRACIA
LOURDES ANDREA	ARRIAGA	PIZANO
OSCAR GERARDO	ARRIETA	RODRÍGUEZ
PEDRO	ARROYO	ACEVEDO
ANA CRISTINA	ARTEAGA	GÓMEZ
HIGINIO	ARZATE	 
HUMBERTO FRANCISCO	ASTIAZARÁN	GARCÍA
ESPERANZA DEL REFUGIO	ÁVALOS	DÍAZ
MARÍA DEL CARMEN	ÁVILA	CASADO
JOSÉ ALBERTO	ÁVILA	FUNES
MIGUEL ÁNGEL	ÁVILA	RODRÍGUEZ
JORGE ARTURO	AVIÑA	VALENCIA
AQUILES R.	AYALA	RUÍZ
ALEJANDRA RENATA	BÁEZ	SALDAÑA
MANUEL ANTONIO	BAEZA	BACAB
CARLOS	BAEZA	HERRERA
HÉCTOR ALFREDO	BAPTISTA	GONZÁLEZ
FERNANDO	BARINAGARREMENTERÍA	ALDATZ
SIMÓN	BARQUERA	CERVERA
RODOLFO	BARRAGÁN	GARCÍA
JOSÉ LUIS	BARRERA	FRANCO
HUGO ALBERTO	BARRERA	SALDAÑA
TONATIUH	BARRIENTOS	GUTIÉRREZ
JORGE ARMANDO	BARRIGUETE	MELÉNDEZ
JUAN GERARDO	BARROSO	VILLA
MARÍA DE LOURDES	BASURTO	ACEVEDO
INGEBORG DOROTHEA	BECKER	FAUSER
ARTURO	BELTRÁN	ORTEGA
CARLOS HERNÁN	BERLANGA	CISNEROS
JOSÉ ARTURO	BERMUDEZ GÓMEZ	LLANOS
JOSÉ MANUEL	BERRUECOS	VILLALOBOS
JAIME	BERUMEN	CAMPOS
FRANCISCO	BIAGI	FILIZOLA
FRANCISCO ANTONIO	BLANCO	FAVELA
NORMA ARACELÍ	BOBADILLA	SANDOVAL
RAFAEL	BOJALIL	PARRA
ÁLVARO	BOLIO	CICERO
VICTOR HUGO	BORJA	ABURTO
GABRIELA	BORRAYO	SÁNCHEZ
FRANCISCO JAVIER	BOSQUES	PADILLA
HÉCTOR	BOURGES	RODRÍGUEZ
